Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Original Air Date,Episode Title,Anchor,Industry,Business Description,Company Website,Started in,Number of Presenters,Male Presenters,Female Presenters,Transgender Presenters,Couple Presenters,Pitchers Average Age,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,EBITDA,Cash Burn,SKUs,Has Patents,Bootstrapped,Part of Match off,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Debt Interest,Deal Valuation,Number of Sharks in Deal,Deal Has Conditions,Royalty Percentage,Royalty Recouped Amount,Advisory Shares Equity,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Ritesh Investment Amount,Ritesh Investment Equity,Ritesh Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount,Invested Guest Name,All Guest Names,Namita Present,Vineeta Present,Anupam Present,Aman Present,Peyush Present,Ritesh Present,Amit Present,Guest Present,Is Funded,Founder Gender Mix
1,BluePineFoods,1,1,2021-12-20,2022-02-04,2021-12-20,Badlegi Business Ki Tasveer,Rannvijay Singh,Food and Beverage,Frozen Momos,https://bluepinefoods.com/,2016.0,3,2.0,1.0,,0,,Delhi,Delhi,95.0,8.0,,,,,,,,,50.0,5.0,1000.0,1,1.0,75.0,16.0,0.0,,469.0,3.0,,,,,,,,25.0,5.33,,,,,25.0,5.33,,,,,,,,,,,25.0,5.33,,Ashneer Grover,Ashneer Grover,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Yes,Mixed
1,BoozScooters,1,2,2021-12-20,2022-02-04,2021-12-20,Badlegi Business Ki Tasveer,Rannvijay Singh,Vehicles/Electrical Vehicles,Renting e-bike for mobility in private spaces,https://www.boozup.net/,2017.0,1,1.0,,,0,,Ahmedabad,Gujarat,4.0,0.4,,,,,,,,,40.0,15.0,267.0,1,1.0,40.0,50.0,0.0,,80.0,2.0,,,,,,,,20.0,25.0,,,,,,,,,,,,,,,,,20.0,25.0,,Ashneer Grover,Ashneer Grover,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Yes,Male Only
1,TagzFoods,2,4,2021-12-20,2022-02-04,2021-12-21,"Insaan, Ideas Aur Sapne",Rannvijay Singh,Food and Beverage,Healthy Potato Chips Snacks,https://tagzfoods.com/,2019.0,2,2.0,,,0,,Bangalore,Karnataka,700.0,,48.0,,,,,,,,70.0,1.0,7000.0,1,1.0,70.0,2.75,0.0,,2545.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,2.75,,Ashneer Grover,Ashneer Grover,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Yes,Male Only
1,SkippiIcePops,6,16,2021-12-20,2022-02-04,2021-12-27,"New Week, New Ideas",Rannvijay Singh,Food and Beverage,Ice-Pops,https://skippi.in/,2021.0,2,1.0,1.0,,1,,Hyderabad,Telangana,,7.5,,,,,,yes,,,45.0,5.0,900.0,1,1.0,100.0,15.0,0.0,,667.0,5.0,,,,,20.0,3.0,,20.0,3.0,,20.0,3.0,,20.0,3.0,,,,,,,,,,,20.0,3.0,,Ashneer Grover,Ashneer Grover,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Yes,Mixed
1,RaisingSuperstars,7,19,2021-12-20,2022-02-04,2021-12-28,A Never Give Up Spirit,Rannvijay Singh,Children/Education,Child Development App,https://raisingsuperstars.com/india-page,2020.0,2,1.0,1.0,,1,,Gurgaon,Haryana,1300.0,,,,,,,,,,100.0,2.0,5000.0,1,1.0,100.0,4.0,0.0,,2500.0,2.0,,,,,,,,,,,,,,50.0,2.0,,,,,,,,,,,50.0,2.0,,Ashneer Grover,Ashneer Grover,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Yes,Mixed
1,BeyondSnack,8,23,2021-12-20,2022-02-04,2021-12-29,Shark Ko Impress Karne Wale Ideas,Rannvijay Singh,Food and Beverage,Kerala Banana Chips,https://www.beyondsnack.in/,2020.0,1,1.0,,,0,,Thiruvananthapuram,Kerala,60.0,20.6,51.0,,,,,,,,50.0,2.5,2000.0,1,1.0,50.0,2.5,0.0,,2000.0,2.0,,,,,,,,,,,,,,25.0,1.25,,,,,,,,,,,25.0,1.25,,Ashneer Grover,Ashneer Grover,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,Yes,Male Only
1,MotionBreeze,8,25,2021-12-20,2022-02-04,2021-12-29,Shark Ko Impress Karne Wale Ideas,Rannvijay Singh,Vehicles/Electrical Vehicles,Smart Electric Motorcycle,https://www.motionautomotive.in/,2018.0,4,4.0,,,0,,Vadodara,Gujarat,0.0,,,,,,,yes,,,30.0,3.0,1000.0,1,1.0,30.0,6.0,0.0,,500.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,6.0,,Ashneer Grover,Ashneer Grover,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,Yes,Male Only
1,EventBeep,10,31,2021-12-20,2022-02-04,2021-12-31,Passion About Entrepreneurship,Rannvijay Singh,Children/Education,Student Community App EdTech,https://www.eventbeep.com/,2019.0,3,2.0,1.0,,0,,Pune,Maharashtra,120.0,,,,,,,,,,30.0,2.0,1500.0,1,1.0,30.0,3.0,0.0,,1000.0,3.0,,,,,,,,,,,,,,10.0,1.0,,10.0,1.0,,,,,,,,10.0,1.0,,Ashneer Grover,Ashneer Grover,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,Yes,Mixed
1,TheYarnBazaar,13,40,2021-12-20,2022-02-04,2022-01-05,Ideas By Young Entrepreneurs,Rannvijay Singh,Manufacturing,Yarn-Trading App Online Marketplace for Yarn,https://theyarnbazaar.com/,2019.0,1,1.0,,,0,,Mumbai,Maharashtra,180.0,,,,,,,,,,50.0,2.0,2500.0,1,1.0,100.0,10.0,0.0,,1000.0,4.0,,,,,,,,,,,25.0,2.5,,25.0,2.5,,25.0,2.5,,,,,,,,25.0,2.5,,Ashneer Grover,Ashneer Grover,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,Yes,Male Only
1,BambooIndia,16,47,2021-12-20,2022-02-04,2022-01-10,Winning The Sharks Trust,Rannvijay Singh,Manufacturing,Bamboo Products,https://www.bambooindia.com/,2016.0,2,1.0,1.0,,1,,Pune,Maharashtra,380.0,20.0,,,,,,,,,80.0,4.0,2000.0,1,1.0,50.0,3.5,30.0,,1429.0,2.0,,,,,,,,,,,25.0,1.75,15.0,,,,,,,,,,,,,25.0,1.75,15.0,Ashneer Grover,Ashneer Grover,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,Yes,Mixed
